title,code
tour conductor,39-7011
tour driver,39-7011
tour narrator,39-7011
tour travel specialist,39-7011
wellness guide,39-7011
whitewater river guide,39-7011
wilderness guide,39-7011
cruise agent,39-7012
cruise consultant,39-7012
cruise coordinator,39-7012
cruise guide,39-7012
data wrangler,39-7012
destination coordinator,39-7012
destination imagination coordinator,39-7012
international guest coordinator,39-7012
mountain services manager,39-7012
tour consultant,39-7012
tours hostess,39-7012
after school counselor,39-9011
baby attendant,39-9011
boarding mother,39-9011
child attendant,39-9011
child care aide,39-9011
child care attendant,39-9011
child care development specialist,39-9011
child care sitter,39-9011
child care supervisor,39-9011
child daycare worker,39-9011
child life specialist,39-9011
child monitor,39-9011
child's nurse,39-9011
children's institution attendant,39-9011
children's lunchroom supervisor,39-9011
classroom monitor,39-9011
day care aide,39-9011
day care assistant,39-9011
day care home mother,39-9011
day care home provider,39-9011
day care supervisor,39-9011
daycare assistant,39-9011
family day care provider,39-9011
home child care provider,39-9011
infant and toddler teacher,39-9011
infant childcare provider,39-9011
infant room teacher,39-9011
lunchroom monitor,39-9011
lunchroom mother,39-9011
mother helper,39-9011
mother's helper,39-9011
nursemaid,39-9011
nursery attendant,39-9011
nursery school attendant,39-9011
parent aide,39-9011
playground attendant,39-9011
playground supervisor,39-9011
playroom attendant,39-9011
school childcare attendant,39-9011
toddler caregiver,39-9011
babysitter,39-9011
care manager,39-9021
care provider,39-9021
convalescent sitter,39-9021
direct care staffer,39-9021
direct support staff member,39-9021
family member caretaker,39-9021
geriatric aide,39-9021
guardian family member,39-9021
homemaker,39-9021
live in caregiver,39-9021
live-in caregiver,39-9021
personal attendant,39-9021
personal care aid,39-9021
provider,39-9021
support staff,39-9021
aerobics teacher,39-9031
fitness consultant,39-9031
fitness teacher,39-9031
fitness technician,39-9031
personal coach,39-9031
personal fitness manager,39-9031
physical fitness trainer,39-9031
physical instructor,39-9031
pilates instructor,39-9031
sports instructor,39-9031
zumba instructor,39-9031
activities counselor,39-9032
activity leader,39-9032
activity specialist,39-9032
camp advisor,39-9032
day camp counselor,39-9032
fitness plan coordinator,39-9032
group work program aide,39-9032
guest advisor,39-9032
guest associate,39-9032
life enrichment manager,39-9032
play leader,39-9032
playground director,39-9032
playground official,39-9032
recreation center director,39-9032
recreation counselor,39-9032
recreation technician,39-9032
recreation worker,39-9032
recreational counselor,39-9032
recreational facilities motel manager,39-9032
recreational leader,39-9032
social director,39-9032
summer camp counselor,39-9032
summer counselor,39-9032
teen counselor,39-9032
therapeutic activities services worker,39-9032
therapeutic recreation assistant,39-9032
therapeutic recreation director,39-9032
therapeutic recreation leader,39-9032
area coordinator,39-9041
area director,39-9041
assistant dean of students,39-9041
assistant director of residence life,39-9041
assistant director of student activities and housing,39-9041
assistant hall director,39-9041
associate dean of students,39-9041
associate dean of women,39-9041
coordinator for fraternity and sorority life,39-9041
director of residence life,39-9041
dormitory supervisor,39-9041
hall director,39-9041
head resident,39-9041
house father,39-9041
house fellow,39-9041
house mother,39-9041
housefellow,39-9041
program coordinator for residence life,39-9041
residence supervisor,39-9041
shelter case manager,39-9041
sorority supervisor,39-9041
student development coordinator,39-9041
body piercer,39-9099
bootblack,39-9099
brush worker,39-9099
chaperon,39-9099
chaperone,39-9099
closet organizer,39-9099
cremator,39-9099
crematory attendant,39-9099
escalator attendant,39-9099
escalator operator,39-9099
graves registration specialist,39-9099
home organizer,39-9099
house servant,39-9099
pet crematory worker,39-9099
piercing artist,39-9099
powder room attendant,39-9099
private household worker,39-9099
professional organizer,39-9099
research subject,39-9099
servant,39-9099
shine worker,39-9099
shoeblack,39-9099
shoeshiner,39-9099
slumber room attendant,39-9099
tattoo and body artist,39-9099
tattooer,39-9099
tattooist,39-9099
taxi dancer,39-9099
antique collector,41-1011
antique dealer,41-1011
assistant manager retail,41-1011
auto leasing manager,41-1011
auto rental supervisor,41-1011
automobile dealer,41-1011
automobile leasing supervisor,41-1011
automobile service station manager,41-1011
barn operator,41-1011
branch store manager,41-1011
car rental manager,41-1011
coin dealer,41-1011
commissary manager,41-1011
commissary officer,41-1011
commissary steward,41-1011
concession manager,41-1011
convenience store manager,41-1011
dairy department manager,41-1011
dairy store manager,41-1011
delicatessen store manager,41-1011
department sales manager,41-1011
division supervisor,41-1011
florist manager,41-1011
flower shop manager,41-1011
frozen food department manager,41-1011
grocer,41-1011
grocery manager,41-1011
grocery store manager,41-1011
grocery supervisor,41-1011
"ice storage, sales, and delivery supervisor",41-1011
key carrier,41-1011
key holder,41-1011
lumber sales supervisor,41-1011
machinery or equipment rental and leasing manager,41-1011
managing jeweler,41-1011
marina sales and service supervisor,41-1011
millinery department manager,41-1011
music store manager,41-1011
parts department supervisor,41-1011
parts sales manager,41-1011
pawn shop keeper,41-1011
post exchange manager (px manager),41-1011
produce department manager,41-1011
produce manager,41-1011
ready to wear department manager,41-1011
retail assistant manager,41-1011
retail grocer,41-1011
retail manager,41-1011
retail sales manager,41-1011
retail shift supervisor,41-1011
retail store manager,41-1011
retail supervisor,41-1011
softlines supervisor,41-1011
stationer,41-1011
stock manager,41-1011
supermarket manager,41-1011
tobacconist,41-1011
vending stand supervisor,41-1011
advertising material distributors supervisor,41-1012
agency manager,41-1012
associate director of sales,41-1012
block captain,41-1012
bowling or skating desk clerk supervisor,41-1012
bulk plant supervisor,41-1012
catering sales manager,41-1012
channel sales manager,41-1012
circulation crew leader,41-1012
client service supervisor,41-1012
client services manager,41-1012
crew manager,41-1012
desk clerks supervisor,41-1012
director of group sales,41-1012
director sales and marketing,41-1012
district adviser,41-1012
dry cleaning manager,41-1012
flooring sales manager,41-1012
food stand manager,41-1012
foreign exchange services manager,41-1012
general sales manager,41-1012
global sales manager,41-1012
group sales manager,41-1012
head of commission department,41-1012
indian trader,41-1012
inside sales supervisor,41-1012
insurance agents supervisor,41-1012
insurance office manager,41-1012
insurance office supervisor,41-1012
insurance sales manager,41-1012
junk dealer,41-1012
malt liquors sales supervisor,41-1012
management accounts manager,41-1012
meat sales and storage manager,41-1012
newspaper carriers supervisor,41-1012
newspaper delivery counselor,41-1012
party plan sales unit advisor,41-1012
party plan sales unit sales leader,41-1012
reservations sales supervisor,41-1012
route sales manager,41-1012
sales activity manager,41-1012
sales leader,41-1012
sales representative supervisor,41-1012
sales team leader,41-1012
sales team manager,41-1012
senior sales manager,41-1012
station captain,41-1012
strategic accounts manager,41-1012
subscription crew leader,41-1012
"supervisor, sales, customer service and documentation departments",41-1012
supervisor-international reservations,41-1012
technical sales manager,41-1012
telemarketing supervisor,41-1012
territory supervisor,41-1012
textile conversion manager,41-1012
tobacco warehouse manager,41-1012
truck leasing manager,41-1012
wholesale manager,41-1012
wholesaler,41-1012
all purpose clerk (apc),41-2011
auction clerk,41-2011
bottle booth attendant,41-2011
box office attendant,41-2011
bridge toll collector,41-2011
cafeteria clerk,41-2011
cafeteria or lunchroom checker,41-2011
cash checker,41-2011
cash office worker,41-2011
cash person,41-2011
cashier host/hostess,41-2011
cashier or checker stock clerk,41-2011
cashier wrapper,41-2011
casino change attendant,41-2011
center aisle cashier,41-2011
change booth attendant,41-2011
check cashier,41-2011
checker cashier,41-2011
checkout operator,41-2011
clerk checker,41-2011
convenience store clerk,41-2011
courtesy booth cashier,41-2011
credit cashier,41-2011
disbursing agent,41-2011
disbursing officer,41-2011
drivers' cash clerk,41-2011
food checker,41-2011
front end assistant,41-2011
gas station cashier,41-2011
grocery cashier,41-2011
"grocery clerk, checking",41-2011
"grocery clerk, selling",41-2011
head cashier,41-2011
hostess cashier,41-2011
hotel and dining room cashier,41-2011
hotel dining room cashier,41-2011
information clerk cashier,41-2011
landfill attendant,41-2011
parimutuel ticket cashier,41-2011
parimutuel ticket seller,41-2011
point of sale associate,41-2011
restaurant cashier,41-2011
retail cashier,41-2011
sales store checker,41-2011
service counter cashier,41-2011
service station cashier,41-2011
station cashier,41-2011
store cashier,41-2011
store clerk cashier,41-2011
store clerk checker,41-2011
toll bridge operator,41-2011
toll gate keeper,41-2011
toll gate tender,41-2011
tube carrier,41-2011
tube room cashier,41-2011
tube teller,41-2011
turnstile collector,41-2011
wrapper cashier,41-2011
bingo cashier,41-2012
carousel attendant,41-2012
casino floor person,41-2012
casino floor walker,41-2012
change attendant,41-2012
front window cashier,41-2012
lottery sales clerk,41-2012
player services representative,41-2012
slot ambassador,41-2012
apparel rental clerk,41-2021
auto rental clerk,41-2021
baby stroller and wheelchair rental clerk,41-2021
baby stroller rental clerk,41-2021
boats renter,41-2021
counter checker,41-2021
desk attendant,41-2021
dry cleaning attendant,41-2021
front clerk,41-2021
fur storage clerk,41-2021
furniture rental consultant,41-2021
hospital television rental clerk,41-2021
launderette attendant,41-2021
laundry or dry cleaners counter clerk,41-2021
office rental clerk,41-2021
photo booth operator,41-2021
rental boats caretaker,41-2021
rental counter clerk,41-2021
rental representative,41-2021
self service laundry and dry cleaning attendant,41-2021
service establishment attendant,41-2021
tool and equipment rental clerk,41-2021
trailer rental clerk,41-2021
vehicle return associate,41-2021
watch and clock repair clerk,41-2021
wheelchair rental clerk,41-2021
will call clerk,41-2021
will call order clerk,41-2021
auto parts clerk,41-2022
auto parts handler,41-2022
commercial parts professional,41-2022
parts back counter man,41-2022
parts counter representative,41-2022
parts counterman,41-2022
parts professional,41-2022
retail parts professional,41-2022
wholesale parts salesperson,41-2022
art objects salesperson,41-2031
associate sales,41-2031
automobile accessories salesperson,41-2031
automobile salesman,41-2031
automobiles salesperson,41-2031
bargain table clerk,41-2031
boats and marine supplies sales representative,41-2031
books salesperson,41-2031
car salesman,41-2031
car salesperson,41-2031
china and silverware salesperson,41-2031
cigarette seller,41-2031
clothing consultant,41-2031
commission sales associate,41-2031
corsets salesperson,41-2031
cosmetic counselor,41-2031
cosmetics and toiletries salesperson,41-2031
curtains and draperies salesperson,41-2031
drapery counselor,41-2031
drapery estimator,41-2031
dry goods clerk,41-2031
electric motors salesperson,41-2031
"fashion consultant, selling",41-2031
fitting room associate,41-2031
floor coverings salesperson,41-2031
flowers salesperson,41-2031
flying squad salesperson,41-2031
furniture salesperson,41-2031
furs salesperson,41-2031
garden consultant,41-2031
general hardware salesperson,41-2031
general merchandise salesperson,41-2031
haberdasher,41-2031
home planning consultant salesperson,41-2031
horticultural and nursery products salesperson,41-2031
hourly sales staff,41-2031
household appliances salesperson,41-2031
infants' and children's wear salesperson,41-2031
internet sales manager,41-2031
jewelry salesperson,41-2031
leather and suede apparel and accessories salesperson,41-2031
major sales associate,41-2031
meat hostess,41-2031
men's and boys' clothing salesperson,41-2031
men's furnishings salesperson,41-2031
millinery salesperson,41-2031
musical instruments and accessories salesperson,41-2031
orthopedic shoe fitter,41-2031
orthopedic shoes salesperson,41-2031
paint mixer,41-2031
pet counselor,41-2031
pets and pet supplies salesperson,41-2031
phonograph records and tape recordings salesperson,41-2031
photographic supplies and equipment salesperson,41-2031
pianos and organs salesperson,41-2031
platform attendant,41-2031
retail associate,41-2031
retail clerk,41-2031
retail sales associate,41-2031
retail sales clerk,41-2031
retail sales representative,41-2031
retail salesman,41-2031
retail salesperson,41-2031
retail salesworker,41-2031
sales and leasing consultant,41-2031
sales attendant,41-2031
sales support associate,41-2031
sales trainee,41-2031
selling manager,41-2031
sewing machines salesperson,41-2031
sheet music salesperson,41-2031
shoe salesman,41-2031
shoes salesperson,41-2031
shop girl,41-2031
sporting goods salesperson,41-2031
stamp redemption clerk,41-2031
stamps or coins salesperson,41-2031
stereo equipment salesperson,41-2031
surgical corsetier,41-2031
toy consultant,41-2031
toy trains and accessories salesperson,41-2031
trailers and motor homes salesperson,41-2031
vendette,41-2031
wallpaper consultant,41-2031
wig sales consultant,41-2031
wigs salesperson,41-2031
women's apparel and accessories salesperson,41-2031
yard goods salesperson,41-2031
advertising sales executive,41-3011
graphic art sales representative,41-3011
idea man,41-3011
idea worker,41-3011
media consultant,41-3011
outdoor advertising leasing agent,41-3011
radio and television time sales representative,41-3011
real estate account executive,41-3011
retail account executive,41-3011
retail advertising account executive,41-3011
retail advertising executive,41-3011
sales promotion representative,41-3011
signs and displays sales representative,41-3011
signs sales representative,41-3011
site leasing agent,41-3011
site promotion agent,41-3011
space buyer,41-3011
time broker,41-3011
time buyer,41-3011
bond writer,41-3021
burial agent,41-3021
commercial lines insurance agent,41-3021
compensation agent,41-3021
debit agent,41-3021
district sales coordinator,41-3021
group insurance special agent,41-3021
group insurance specialist,41-3021
health insurance specialist,41-3021
home office representative,41-3021
insurance representative,41-3021
insurance salesman,41-3021
insurance salesperson,41-3021
insurance solicitor,41-3021
insurance special agent,41-3021
"insurance underwriter, sales",41-3021
licensed insurance sales agent,41-3021
network contractor,41-3021
"policy writer, sales",41-3021
sales special agent,41-3021
selling underwriter,41-3021
strategic account executive,41-3021
surety bond agent,41-3021
bond broker,41-3031
business relationship manager,41-3031
commodity broker,41-3031
customer agent,41-3031
floor broker,41-3031
grain broker,41-3031
grain broker and market operator,41-3031
market maker,41-3031
mine promotor,41-3031
mining speculator,41-3031
mutual funds agent,41-3031
oil lease broker,41-3031
oil speculator,41-3031
speculator,41-3031
stock speculator,41-3031
stockbroker,41-3031
banker,41-3031
financial report service sales agent,41-3031
financial services agent,41-3031
financial services associate,41-3031
financial services sales representative,41-3031
loan broker,41-3031
sales advisor,41-3031
securities adviser,41-3031
block trader,41-3031
bond trader,41-3031
commodities trader,41-3031
day trader,41-3031
equities trader,41-3031
floor trader,41-3031
flow trader,41-3031
forex trader,41-3031
hedge fund trader,41-3031
hybrid derivatives trader,41-3031
online trader,41-3031
proprietary trader,41-3031
trading specialist,41-3031
corporate travel agent,41-3041
corporate travel counselor,41-3041
tour agent,41-3041
travel coordinator,41-3041
travel professional,41-3041
audiovisual program productions sales representative,41-3099
automotive leasing sales representative,41-3099
baby counselor,41-3099
branch sales and service representative,41-3099
burial needs salesperson,41-3099
business services representative,41-3099
business services sales agent,41-3099
check writer salesperson,41-3099
circulation worker,41-3099
dancing instructions sales representative,41-3099
data processing services sales representative,41-3099
education courses sales representative,41-3099
"elevators, escalators, and dumbwaiters service representative",41-3099
franchise sales representative,41-3099
herbicide service sales representative,41-3099
hotel services sales representative,41-3099
personal service representative,41-3099
printing agent,41-3099
printing sales representative,41-3099
psychological tests and industrial relations sales agent,41-3099
psychological tests sales agent,41-3099
public utilities sales representative,41-3099
sales account executive,41-3099
security systems sales representative,41-3099
shipping services sales representative,41-3099
telephone services sales representative,41-3099
television cable service sales representative,41-3099
tobacco warehouse agent,41-3099
traffic representative,41-3099
travel freight and passenger agent,41-3099
traveling freight agent,41-3099
upholstery and furniture repair sales representative,41-3099
weather forecasting service sales representative,41-3099
customer energy specialist,41-3099
electricity trading analyst,41-3099
energy broker,41-3099
energy conservation specialist,41-3099
energy derivatives trader,41-3099
energy management specialist,41-3099
energy sales broker,41-3099
energy specialist,41-3099
energy trading analyst,41-3099
natural gas basis trader,41-3099
natural gas trader,41-3099
power marketer,41-3099
power originator,41-3099
renewable energy broker,41-3099
renewable energy trader,41-3099
smart energy specialist,41-3099
abrasives sales representative,41-4011
agricultural sales representative,41-4011
aircraft equipment and parts sales representative,41-4011
aircraft sales representative,41-4011
animal feed products sales representative,41-4011
building equipment and supplies sales representative,41-4011
chemical and pharmaceutical sales representative,41-4011
chemicals and drugs sales representative,41-4011
commercial solar sales consultant,41-4011
communication equipment sales representative,41-4011
computers and edp systems sales representative,41-4011
construction machinery sales representative,41-4011
dairy supplies sales representative,41-4011
dental and medical equipment and supplies sales representative,41-4011
dental detail representative,41-4011
electrical/electronic sales representative,41-4011
electronics parts sales representative,41-4011
"elevators, escalators, and dumbwaiters sales representative",41-4011
enterprise sales person,41-4011
farm and garden equipment and supplies sales representative,41-4011
foundry and machine shop products sales representative,41-4011
green building materials distributor,41-4011
industrial machinery sales representative,41-4011
instruments sales representative,41-4011
lubricating equipment sales representative,41-4011
material handling equipment sales representative,41-4011
mechanical equipment sales representative,41-4011
medical detail representative,41-4011
medical detailist,41-4011
medical field representative,41-4011
medical sales representative,41-4011
medical service representative,41-4011
metals sales representative,41-4011
milking machines sales service representative,41-4011
oil field supplies and equipment sales representative,41-4011
pharmaceutical representative,41-4011
pharmaceutical sales specialist,41-4011
pharmaceutical service representative,41-4011
pharmacy sales representative,41-4011
poultry equipment and supplies sales representative,41-4011
precision instruments sales representative,41-4011
radiographic inspection equipment and services sales representative,41-4011
railroad equipment and supplies sales representative,41-4011
recyclable materials distributor,41-4011
surgical appliances salesperson,41-4011
sustainable products sales representative,41-4011
technical sales representative,41-4011
technical service representative,41-4011
textile machinery sales representative,41-4011
ultrasonic equipment sales representative,41-4011
utility sales representative,41-4011
veterinarian supplies sales representative,41-4011
water treatment chemicals sales representative,41-4011
weighing and force measurement instruments sales representative,41-4011
welding equipment sales representative,41-4011
wire rope sales representative,41-4011
account representative-non-profit division,41-4011
design and sales consultant,41-4011
director of sales and market development,41-4011
executive assistant to the president/sales rep,41-4011
marketing/sales person,41-4011
residential sales,41-4011
residential sales rep (solar consultant),41-4011
residential solar sales consultant,41-4011
sales consultant residential manager,41-4011
sales/marketing,41-4011
salesman/owner,41-4011
solar business developer,41-4011
solar energy consultant and designer,41-4011
solar energy sales specialist,41-4011
solar energy specialist,41-4011
solar manufacturer's representative,41-4011
solar resource assessor,41-4011
solar sales,41-4011
solar sales ambassador,41-4011
solar sales assessor,41-4011
solar sales associate,41-4011
solar sales consultant,41-4011
solar sales consultant and project manager,41-4011
solar sales energy advisor,41-4011
solar sales estimator,41-4011
solar sales rep,41-4011
solar sales representative and assessor,41-4011
solar sales specialist,41-4011
solar site assessment specialist,41-4011
solar system designer,41-4011
solar/renewable energy sales,41-4011
vice president business development and marketing,41-4011
vice president residential solar sales,41-4011
"account executive, key accounts",41-4012
account manager (salesman),41-4012
agricultural produce commission agent,41-4012
apparel trimmings sales representative,41-4012
architectural and engineering supplies sales representative,41-4012
architectural hardware consultant project manager,41-4012
barber and beauty equipment and supplies sales representative,41-4012
bottles and bottling equipment sales representative,41-4012
bulk plant agent,41-4012
bulk station agent,41-4012
business to business sales representative,41-4012
canvas products sales representative,41-4012
church furniture and religious supplies sales representative,41-4012
circulation sales representative,41-4012
commercial equipment and supplies sales representative,41-4012
commercial manager,41-4012
commercial print salesman,41-4012
commission broker,41-4012
commodity merchant,41-4012
consignee,41-4012
containers sales representative,41-4012
coordinator mining products,41-4012
cordage sales representative,41-4012
customer account technician,41-4012
diamond broker,41-4012
diamond merchant,41-4012
distribution agent,41-4012
district sales representative,41-4012
executive vice president of sales,41-4012
factory representative,41-4012
field sales representative,41-4012
florist supplies salesperson,41-4012
food products sales representative,41-4012
footwear sales representative,41-4012
fuels sales representative,41-4012
general merchandise sales representative,41-4012
hardware supplies sales representative,41-4012
hobbies and crafts sales representative,41-4012
home furnishings sales representative,41-4012
hotel and restaurant equipment and supplies sales representative,41-4012
household appliances sales representative,41-4012
industrial rubber goods sales representative,41-4012
inside sales,41-4012
inside sales person,41-4012
inside sales/customer relations supervisor,41-4012
jewelry sales representative,41-4012
leather goods sales representative,41-4012
livestock sales representative,41-4012
local sales associate,41-4012
malt liquors sales representative,41-4012
manufacturer's representative,41-4012
manufacturers agent,41-4012
men's and boys' apparel sales representative,41-4012
metal dealer,41-4012
mill representative,41-4012
motor vehicles and supplies sales representative,41-4012
musical instruments and accessories sales representative,41-4012
national account manager,41-4012
national sales,41-4012
negotiator sales,41-4012
novelties sales representative,41-4012
office and artists materials sales representative,41-4012
office machines sales representative,41-4012
oil distributor,41-4012
outside salesman,41-4012
paper and paper products sales representative,41-4012
petroleum products sales representative,41-4012
plastic products sales representative,41-4012
pressure sensitive tape sales representative,41-4012
printing supplies sales representative,41-4012
publications sales representative,41-4012
purchasing manager/sales,41-4012
recreation and sporting goods sales representative,41-4012
safety apparel and equipment sales representative,41-4012
sales lead,41-4012
sales team member,41-4012
school equipment and supplies sales representative,41-4012
scrap dealer,41-4012
senior account manager,41-4012
senior sales director,41-4012
shoe leather and findings sales representative,41-4012
southeast regional sales manager,41-4012
territory sales executive,41-4012
textile broker,41-4012
textile converter,41-4012
textile designs sales representative,41-4012
textiles sales representative,41-4012
tobacco drummer,41-4012
tobacco products and smoking supplies sales representative,41-4012
toilet preparations sales representative,41-4012
tractor distributor,41-4012
turf sales person,41-4012
uniforms sales representative,41-4012
vending and coin machines sales representative,41-4012
videotape sales representative,41-4012
water softening equipment sales representative,41-4012
women's and girls' apparel sales representative,41-4012
wool merchant,41-4012
writing and marking pens sales representative,41-4012
appliance counselor,41-9011
demonstrator sales,41-9011
electric-gas appliances demonstrator,41-9011
event staff member,41-9011
exhibit display representative,41-9011
exhibitor sales,41-9011
"fashion director, party plan sales",41-9011
fashion show director,41-9011
food counselor,41-9011
goodwill ambassador,41-9011
goodwill representative,41-9011
knitting demonstrator,41-9011
meat products demonstrator,41-9011
newcomer hostess,41-9011
party demonstrator,41-9011
party director,41-9011
party plan dealer,41-9011
party plan demonstrator,41-9011
party plan sales agent,41-9011
party plan sales consultant,41-9011
party plan sales director,41-9011
party plan sales host/hostess,41-9011
party plan selling distributor,41-9011
presentation team member,41-9011
sales exhibitor,41-9011
sandwich board carrier,41-9011
sewing demonstrator,41-9011
sewing techniques demonstrator,41-9011
welcome hostess,41-9011
welcome wagon hostess,41-9011
agency director,41-9012
character impersonator,41-9012
free lance model,41-9012
male model,41-9012
professional model,41-9012
runway model,41-9012
spirits model,41-9012
buyer broker,41-9021
lease administration analyst,41-9021
lease analyst,41-9021
realty loan specialist,41-9021
realty specialist,41-9021
apartment leasing agent,41-9022
apartment leasing consultant,41-9022
buyers' agent,41-9022
closing coordinator,41-9022
leasing agent,41-9022
leasing professional,41-9022
leasing specialist,41-9022
real estate agent/broker,41-9022
real estate listing consultant,41-9022
real estate professional,41-9022
real estate rental agent,41-9022
real estate sales agent,41-9022
rental sales agent,41-9022
residence leasing agent,41-9022
residential property consultant,41-9022
right-of-way buyer,41-9022
sales superintendent,41-9022
aeronautical products sales engineer,41-9031
agricultural equipment sales engineer,41-9031
ceramic products sales engineer,41-9031
chemical equipment sales engineer,41-9031
customer success manager,41-9031
electrical products sales engineer,41-9031
electronics products and systems sales engineer,41-9031
"hvac commercial salesperson (heating, ventilation, and air conditioning commercial salesperson)",41-9031
inside sales engineer,41-9031
marine equipment sales engineer,41-9031
mechanical equipment sales engineer,41-9031
mining and oil well equipment and services sales engineer,41-9031
business development representative,41-9041
call center telemarketer,41-9041
scheduling agent,41-9041
telemarketing representative,41-9041
balloon seller,41-9091
book agent,41-9091
book canvasser,41-9091
book solicitor,41-9091
bumboater,41-9091
candy butcher,41-9091
candy vendor,41-9091
christmas bell ringer,41-9091
chuck wagon driver,41-9091
cigarette vendor,41-9091
cushion worker,41-9091
direct selling counselor,41-9091
door to door salesman,41-9091
door to door selling agent,41-9091
door to door selling distributor,41-9091
door-to-door sales representative,41-9091
"fashion consultant, sales",41-9091
fish peddler,41-9091
fruit vendor,41-9091
fuller brush man,41-9091
fuller brush worker,41-9091
fullerette,41-9091
good humor vendor,41-9091
hawker,41-9091
huckster,41-9091
ice cream truck driver,41-9091
ice cream vendor,41-9091
kettle girl,41-9091
lei seller,41-9091
lounge car attendant,41-9091
lunch truck operator,41-9091
lunch wagon operator,41-9091
news agent,41-9091
newspaper peddler,41-9091
newspaper subscription solicitor,41-9091
newspaper vendor,41-9091
newsstand vendor,41-9091
paper carrier,41-9091
paper deliverer,41-9091
peanut vendor,41-9091
pillow agent,41-9091
popcorn vendor,41-9091
portable canteen operator,41-9091
pushcart peddler,41-9091
sales vendor,41-9091
sandwich and drink cart operator,41-9091
sandwich peddler,41-9091
subscription agent,41-9091
truck caterer,41-9091
apparel stock checker,41-9099
circulation man,41-9099
drapery and upholstery estimator,41-9099
ticket speculator,41-9099
trousseau consultant,41-9099
vending machine operator,41-9099
wedding consultant,41-9099
wedding coordinator,41-9099
accounting administrator,43-1011
accounting clerks supervisor,43-1011
accounting director,43-1011
accounts receivable supervisor,43-1011
adjustment supervisor,43-1011
admissions supervisor,43-1011
admitting officer,43-1011
advertising dispatch clerks supervisor,43-1011
agency appointments supervisor,43-1011
airline ticket sales and reservations supervisor,43-1011
animal hospital office supervisor,43-1011
assembly stock supervisor,43-1011
audit clerks supervisor,43-1011
auto club safety program coordinator,43-1011
automatic chief,43-1011
automobile club safety program coordinator,43-1011
baggage agent supervisor,43-1011
baggage and mail agent,43-1011
baggagemaster,43-1011
billing administrator,43-1011
booking supervisor,43-1011
bookkeepers supervisor,43-1011
bookkeeping clerks supervisor,43-1011
call center director,43-1011
cashiers supervisor,43-1011
central office operator supervisor,43-1011
central office telephone operators supervisor,43-1011
central supply manager,43-1011
central supply supervisor,43-1011
central supply technician supervisor,43-1011
chief crew scheduler,43-1011
chief order dispatcher,43-1011
chief payroll clerk,43-1011
chief service dispatcher,43-1011
chief service observer,43-1011
claims adjuster supervisor,43-1011
classified advertising supervisor,43-1011
clerk supervisor,43-1011
coding clerks supervisor,43-1011
coin machine collector supervisor,43-1011
commissary agent,43-1011
communication center coordinator,43-1011
complaint evaluation supervisor,43-1011
computer operations supervisor,43-1011
contact and service clerks supervisor,43-1011
correspondence section supervisor,43-1011
cost and sales record supervisor,43-1011
cost control supervisor,43-1011
credit and loan collections supervisor,43-1011
customer care manager,43-1011
customer complaint service supervisor,43-1011
customer records division supervisor,43-1011
customer service administrator,43-1011
customer service representative supervisor,43-1011
customer services supervisor,43-1011
data control clerk supervisor,43-1011
data processing supervisor,43-1011
delivery department supervisor,43-1011
documentation supervisor,43-1011
field service manager,43-1011
files supervisor,43-1011
film vault supervisor,43-1011
force adjustment supervisor,43-1011
gate services supervisor,43-1011
group chief operator,43-1011
head control clerk,43-1011
head stock transfer clerk,43-1011
head transfer clerk,43-1011
home energy consultant supervisor,43-1011
hospital admissions officer,43-1011
hub lead,43-1011
inventory administrator,43-1011
inventory control supervisor,43-1011
inventory specialist manager,43-1011
keypunch operators supervisor,43-1011
lending activities supervisor,43-1011
machine records units supervisor,43-1011
magazine supervisor,43-1011
mail carriers supervisor,43-1011
mail clerks supervisor,43-1011
mail sorting supervisor,43-1011
mailing manager,43-1011
mails supervisor,43-1011
marking room supervisor,43-1011
measurement department chief clerk,43-1011
medical billing manager,43-1011
meter readers supervisor,43-1011
money room supervisor,43-1011
operators school manager,43-1011
order takers supervisor,43-1011
passenger service supervisor,43-1011
pay station department manager,43-1011
payroll master,43-1011
pbx supervisor (private branch exchange supervisor),43-1011
personnel clerks supervisor,43-1011
petroleum inspector supervisor,43-1011
policy change clerks supervisor,43-1011
print shop chief clerk,43-1011
production clerks supervisor,43-1011
proof machine operator supervisor,43-1011
property master,43-1011
public message service supervisor,43-1011
purchasing and claims supervisor,43-1011
rate supervisor,43-1011
real estate office supervisor,43-1011
sack department supervisor,43-1011
safety deposit supervisor,43-1011
schedule supervisor,43-1011
securities vault supervisor,43-1011
space control supervisor,43-1011
statement clerks manager,43-1011
statement clerks supervisor,43-1011
steno pool supervisor,43-1011
stock control supervisor,43-1011
stock room manager,43-1011
stockroom supervisor,43-1011
supervisory clerk,43-1011
survey workers supervisor,43-1011
tabulating supervisor,43-1011
tariff supervisor,43-1011
team manager,43-1011
technical coordinator,43-1011
telecommunicator supervisor,43-1011
telegraphic typewriter operators supervisor,43-1011
telephone clerks supervisor,43-1011
telephone information supervisor,43-1011
telephone operators supervisor,43-1011
telephone order supervisor,43-1011
telephone solicitor supervisor,43-1011
tellers supervisor,43-1011
ticket sales supervisor,43-1011
toll collector supervisor,43-1011
tool crib manager,43-1011
tool crib supervisor,43-1011
transcribing operators supervisor,43-1011
travel information center supervisor,43-1011
trust accounts supervisor,43-1011
typing pool supervisor,43-1011
typing section chief,43-1011
typists supervisor,43-1011
